team_long_name,player_name,height,weight,date,away_team_goal,home_team_goal,country_id,potential,crossing,finishing,short_passing,dribbling,ball_control,acceleration,sprint_speed,stamina,score
Girondins de Bordeaux,Abel Gomez,182.88,165.0,2009-08-30 00:00:00,1.0,3.0,Belgium,-0.5261087793775107,0.8087672307753228,1.0043997419415391,0.0402724384981395,0.4419749015431023,0.3041222997689533,0.257889845007192,0.7135545117013358,0.1493273139584012,2
SM Caen,Abel Hernandez,185.42,161.0,2009-02-22 00:00:00,0.0,3.0,Belgium,-0.5261087793775107,0.4599881955063887,1.0043997419415391,-0.6658553086202555,0.3290078514747771,-0.6192349065212341,-0.2052961859399665,0.314865273349576,0.1493273139584012,1
Le Havre AC,Abel Issa Camara,185.42,179.0,2007-02-22 00:00:00,4.0,1.0,Belgium,-0.5261087793775107,0.4599881955063887,1.0043997419415391,-0.6658553086202555,0.3290078514747771,-0.6192349065212341,-0.2052961859399665,0.314865273349576,0.1493273139584012,1
OGC Nice,Abel Khaled,180.34,148.0,2016-04-21 00:00:00,0.0,1.0,Belgium,-0.6781478209859344,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-2.251034489289917,-2.2766147759368622,-1.3732895937161391,2
Le Mans FC,Abel Tamata,182.88,170.0,2015-10-16 00:00:00,1.0,2.0,Belgium,-0.6781478209859344,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-2.251034489289917,-2.2766147759368622,-1.3732895937161391,2
FC Lorient,Abel,177.8,165.0,2015-10-02 00:00:00,1.0,1.0,Belgium,-0.6781478209859344,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-2.251034489289917,-2.2766147759368622,-1.3732895937161391,2
Olympique Lyonnais,Abella Perez Damia,187.96,174.0,2015-09-21 00:00:00,1.0,1.0,Belgium,-0.6781478209859344,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-2.251034489289917,-2.2766147759368622,-1.3732895937161391,2
Toulouse FC,Abiola Dauda,180.34,165.0,2015-07-03 00:00:00,1.0,2.0,Belgium,-0.982225904202782,0.0530793210259657,-1.575179251586563,0.1108852132099791,-0.235827398866849,-0.1575563033761404,-2.251034489289917,-2.2367458521016865,-0.6119811398788689,2
AS Monaco,Abou Diaby,193.04,168.0,2015-06-12 00:00:00,3.0,0.0,Belgium,-0.982225904202782,0.0530793210259657,-1.575179251586563,0.1108852132099791,-0.235827398866849,-0.1575563033761404,-2.251034489289917,-2.2367458521016865,-0.6119811398788689,2
Paris Saint-Germain,Aboubacar Tandia,193.04,185.0,2015-01-16 00:00:00,1.0,2.0,Belgium,-0.982225904202782,0.0530793210259657,-1.575179251586563,0.1108852132099791,-0.235827398866849,-0.1575563033761404,-2.251034489289917,-2.2367458521016865,-0.6119811398788689,2
AS Nancy-Lorraine,Aboubakar Kamara,177.8,168.0,2014-11-14 00:00:00,2.0,1.0,Belgium,-0.982225904202782,0.0530793210259657,-1.575179251586563,0.1108852132099791,-0.235827398866849,-0.1575563033761404,-2.251034489289917,-2.2367458521016865,-0.6119811398788689,2
LOSC Lille,Aboubakar Oumarou,182.88,168.0,2014-09-18 00:00:00,0.0,2.0,Belgium,-0.982225904202782,0.0530793210259657,-1.575179251586563,0.1108852132099791,-0.235827398866849,-0.1575563033761404,-2.251034489289917,-2.2367458521016865,-0.6119811398788689,2
Stade Rennais FC,Abraham Gonzalez,177.8,176.0,2014-06-06 00:00:00,1.0,2.0,Belgium,-0.982225904202782,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-1.363261263307863,-1.5988430707388708,-2.134598047553409,2
Olympique de Marseille,Abraham Guie Gneki,180.34,154.0,2014-04-11 00:00:00,2.0,2.0,Belgium,-0.982225904202782,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-1.363261263307863,-1.5988430707388708,-2.134598047553409,2
FC Sochaux-Montbéliard,Abraham Kudemor,182.88,179.0,2013-09-20 00:00:00,0.0,2.0,Belgium,-0.982225904202782,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-1.363261263307863,-1.5988430707388708,-2.134598047553409,2
Grenoble Foot 38,Abraham Minero,175.26,157.0,2013-05-10 00:00:00,3.0,4.0,Belgium,-0.8301868625943581,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-1.363261263307863,-1.040678137046407,-1.449420439099866,2
Valenciennes FC,Abraham Paz Cruz,177.8,165.0,2013-02-15 00:00:00,2.0,2.0,Belgium,-0.5261087793775107,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-1.363261263307863,-1.040678137046407,-1.449420439099866,2
AS Saint-Étienne,Achille Coser,185.42,174.0,2012-08-31 00:00:00,1.0,5.0,Belgium,-0.5261087793775107,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-1.363261263307863,-0.8812024417057033,-1.449420439099866,2
RC Lens,Achille Emana,180.34,170.0,2012-02-22 00:00:00,0.0,0.0,Belgium,-0.5261087793775107,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-0.9772729041852308,-0.5622510510242954,-1.3732895937161391,2
Montpellier Hérault SC,Achille Vaarnold,175.26,157.0,2011-08-30 00:00:00,0.0,2.0,Belgium,-0.5261087793775107,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-0.9772729041852308,-0.5622510510242954,-1.3732895937161391,2
US Boulogne Cote D'Opale,Achmed Ahahaoui,177.8,152.0,2010-02-22 00:00:00,1.0,4.0,Belgium,-0.5261087793775107,0.1112091602374547,-1.5225347823308877,0.1814979879218186,-0.1793438738326864,-0.0916022172125556,-0.9772729041852308,-0.5622510510242954,-1.3732895937161391,2
AC Arles-Avignon,Achraf Lazaar,182.88,168.0,2009-08-30 00:00:00,1.0,2.0,Belgium,0.6902035534898794,0.2274688386604327,-0.3643564587060254,0.6051746361928556,-0.0098932987301985,0.4360304720961229,0.5666805323052977,0.5540788163606319,0.3777198501095823,2
Stade Brestois 29,Aco Stojkov,177.8,165.0,2009-02-22 00:00:00,2.0,1.0,Belgium,1.2983597199235744,0.2855986778719218,-0.3117119894503498,0.6757874109046952,0.046590226303964,0.5019845582597078,0.6438782041298241,0.8730302070420397,0.7583740770282174,2
AC Ajaccio,Adailton,190.5,187.0,2008-08-30 00:00:00,2.0,1.0,Belgium,1.2983597199235744,0.2855986778719218,-0.3117119894503498,-0.1715658856373789,-0.4052779739693369,0.3700763859325381,0.6438782041298241,0.8730302070420397,0.7583740770282174,2
Évian Thonon Gaillard FC,Adailton,175.26,161.0,2007-08-30 00:00:00,2.0,3.0,Belgium,0.6902035534898794,0.1693389994489437,0.0041548260837035,-0.1715658856373789,-0.4052779739693369,0.1722141274417836,0.4122851886562448,0.394603121019928,0.6061123862607634,2
Dijon FCO,Adalberto Penaranda,182.88,172.0,2007-02-22 00:00:00,0.0,3.0,Belgium,0.6902035534898794,0.1693389994489437,0.0041548260837035,-0.1715658856373789,-0.4052779739693369,0.1722141274417836,0.4122851886562448,0.394603121019928,0.6061123862607634,2
Stade de Reims,Adam Armstrong,172.72,152.0,2015-12-24 00:00:00,1.0,2.0,Belgium,-0.5261087793775107,-0.5282190710889242,-0.8381566820071054,0.1814979879218186,-0.68769559914015,-0.3554185618668949,-2.251034489289917,-2.2766147759368622,-0.5358502944951419,2
SC Bastia,Adam Banas,185.42,174.0,2015-09-21 00:00:00,1.0,1.0,Belgium,-0.5261087793775107,-0.5282190710889242,-0.8381566820071054,0.1814979879218186,-0.68769559914015,-0.3554185618668949,-2.251034489289917,-2.2766147759368622,-0.5358502944951419,2
ES Troyes AC,Adam Bodzek,182.88,174.0,2015-05-08 00:00:00,2.0,1.0,Belgium,-0.6781478209859344,-0.5863489103004131,-0.8908011512627809,0.1108852132099791,-0.7441791241743126,-0.4213726480304797,-2.251034489289917,-2.2766147759368622,-0.5358502944951419,2
En Avant de Guingamp,Adam Bogdan,193.04,198.0,2015-04-10 00:00:00,1.0,3.0,Belgium,-0.6781478209859344,-0.5863489103004131,-0.8908011512627809,0.1108852132099791,-0.7441791241743126,-0.4213726480304797,-2.251034489289917,-2.2766147759368622,-0.5358502944951419,2
FC Metz,Adam Brown,177.8,141.0,2015-03-20 00:00:00,2.0,1.0,Belgium,-0.5261087793775107,-0.5863489103004131,-0.8908011512627809,0.1108852132099791,-0.7441791241743126,-0.4213726480304797,-2.251034489289917,-2.2766147759368622,-0.5358502944951419,2
Angers SCO,Adam Buksa,190.5,172.0,2014-09-18 00:00:00,1.0,0.0,Belgium,-0.2220306961606631,-0.5863489103004131,-0.8908011512627809,0.1108852132099791,-0.7441791241743126,-0.4213726480304797,-2.251034489289917,-2.2766147759368622,-0.3835886037276878,2
GFC Ajaccio,Adam Campbell,170.18,161.0,2014-01-31 00:00:00,0.0,2.0,Belgium,-0.2220306961606631,-0.5863489103004131,-0.8908011512627809,0.1108852132099791,-0.7441791241743126,-0.4213726480304797,-2.251034489289917,-1.5988430707388708,-0.3835886037276878,2
FC Bayern Munich,Adam Collin,190.5,172.0,2014-01-17 00:00:00,1.0,3.0,Belgium,-0.2220306961606631,-0.5863489103004131,-0.8908011512627809,0.1108852132099791,-0.7441791241743126,-0.4213726480304797,-2.251034489289917,-1.5988430707388708,-0.3835886037276878,2
Hamburger SV,Adam Cummins,187.96,172.0,2013-09-20 00:00:00,1.0,2.0,Belgium,-0.0699916545522394,-0.5863489103004131,-0.8908011512627809,0.3227235373454976,-0.7441791241743126,-0.4213726480304797,-2.251034489289917,-1.200153832387111,-0.3835886037276878,2
Bayer 04 Leverkusen,Adam Danch,182.88,179.0,2013-05-10 00:00:00,2.0,2.0,Belgium,-0.0699916545522394,-0.5863489103004131,-0.8908011512627809,0.3227235373454976,-0.7441791241743126,-0.4213726480304797,-1.440458935132389,-1.200153832387111,-0.3835886037276878,2
